test,path,qp,rcn,rl,bw_gbps,status
1a,4,8,w5,off,1336.58,OK
1a,4,8,w5,on,1335.41,OK
1a,4,8,w7,off,1508.20,OK
1a,4,8,w7,on,1517.30,OK
1a,4,8,off,off,1515.47,OK
1a,4,8,off,on,1516.67,OK
1a,4,16,w5,off,1371.54,OK
1a,4,16,w5,on,1368.11,OK
1a,4,16,w7,off,1517.48,OK
1a,4,16,w7,on,1517.67,OK
1a,4,16,off,off,1436.17,OK
1a,4,16,off,on,1512.23,OK
1a,4,32,w5,off,1437.14,OK
1a,4,32,w5,on,1431.15,OK
1a,4,32,w7,off,1515.49,OK
1a,4,32,w7,on,1515.48,OK
1a,4,32,off,off,1411.16,OK
1a,4,32,off,on,1511.66,OK
1a,4,64,w5,off,1515.31,OK
1a,4,64,w5,on,1514.71,OK
1a,4,64,w7,off,1515.26,OK
1a,4,64,w7,on,1415.76,OK
1a,4,64,off,off,1465.20,OK
1a,4,64,off,on,1511.61,OK
1a,4,128,w5,off,1489.08,OK
1a,4,128,w5,on,1511.59,OK
1a,4,128,w7,off,1495.10,OK
1a,4,128,w7,on,1511.62,OK
1a,4,128,off,off,1466.23,OK
1a,4,128,off,on,1511.52,OK
1a,4,256,w5,off,1480.50,OK
1a,4,256,w5,on,1511.64,OK
1a,4,256,w7,off,1479.33,OK
1a,4,256,w7,on,1511.63,OK
1a,4,256,off,off,1483.51,OK
1a,4,256,off,on,1511.60,OK
1a,4,512,w5,off,1508.68,OK
1a,4,512,w5,on,1511.41,OK
1a,4,512,w7,off,1508.42,OK
1a,4,512,w7,on,1511.50,OK
1a,4,512,off,off,1496.41,OK
1a,4,512,off,on,1511.34,OK
1a,4,1024,w5,off,1510.84,OK
1a,4,1024,w5,on,1511.49,OK
1a,4,1024,w7,off,1510.34,OK
1a,4,1024,w7,on,1511.54,OK
1a,4,1024,off,off,1505.58,OK
1a,4,1024,off,on,1511.50,OK
