test,path,qp,rcn,rl,bw_gbps,status
1a_ppgen,4,8,w5,off,1335.67,OK
1a_ppgen,4,8,w5,on,1334.46,OK
1a_ppgen,4,8,w7,off,1510.10,OK
1a_ppgen,4,8,w7,on,1507.96,OK
1a_ppgen,4,8,off,off,1515.47,OK
1a_ppgen,4,8,off,on,1516.68,OK
1a_ppgen,4,16,w5,off,1366.57,OK
1a_ppgen,4,16,w5,on,1365.01,OK
1a_ppgen,4,16,w7,off,1517.27,OK
1a_ppgen,4,16,w7,on,1517.23,OK
1a_ppgen,4,16,off,off,1515.37,OK
1a_ppgen,4,16,off,on,1512.15,OK
1a_ppgen,4,32,w5,off,1436.34,OK
1a_ppgen,4,32,w5,on,1442.86,OK
1a_ppgen,4,32,w7,off,1515.41,OK
1a_ppgen,4,32,w7,on,1515.40,OK
1a_ppgen,4,32,off,off,1415.70,OK
1a_ppgen,4,32,off,on,1511.64,OK
1a_ppgen,4,64,w5,off,1514.80,OK
1a_ppgen,4,64,w5,on,1514.38,OK
1a_ppgen,4,64,w7,off,1514.84,OK
1a_ppgen,4,64,w7,on,1514.36,OK
1a_ppgen,4,64,off,off,1515.25,OK
1a_ppgen,4,64,off,on,1511.62,OK
1a_ppgen,4,128,w5,off,1514.78,OK
1a_ppgen,4,128,w5,on,1511.59,OK
1a_ppgen,4,128,w7,off,1514.72,OK
1a_ppgen,4,128,w7,on,1511.62,OK
1a_ppgen,4,128,off,off,1514.85,OK
1a_ppgen,4,128,off,on,1511.53,OK
1a_ppgen,4,256,w5,off,1513.97,OK
1a_ppgen,4,256,w5,on,1511.44,OK
1a_ppgen,4,256,w7,off,1514.77,OK
1a_ppgen,4,256,w7,on,1511.40,OK
1a_ppgen,4,256,off,off,1514.94,OK
1a_ppgen,4,256,off,on,1511.44,OK
1a_ppgen,4,512,w5,off,1510.74,OK
1a_ppgen,4,512,w5,on,1510.31,OK
1a_ppgen,4,512,w7,off,1513.02,OK
1a_ppgen,4,512,w7,on,1510.23,OK
1a_ppgen,4,512,off,off,1514.94,OK
1a_ppgen,4,512,off,on,1510.78,OK
1a_ppgen,4,1024,w5,off,1515.07,OK
1a_ppgen,4,1024,w5,on,1509.24,OK
1a_ppgen,4,1024,w7,off,1514.92,OK
1a_ppgen,4,1024,w7,on,1415.42,OK
1a_ppgen,4,1024,off,off,1515.14,OK
1a_ppgen,4,1024,off,on,1509.81,OK
