test,path,qp,rcn,rl,bw_gbps,status
1b,1,7,w5,off,1368.30,OK
1b,1,7,w5,on,1366.54,OK
1b,1,7,w7,off,1383.95,OK
1b,1,7,w7,on,1384.83,OK
1b,1,7,off,off,1329.56,OK
1b,1,7,off,on,1523.41,OK
1b,1,9,w5,off,886.07,OK
1b,1,9,w5,on,1286.48,OK
1b,1,9,w7,off,1105.19,OK
1b,1,9,w7,on,1425.99,OK
1b,1,9,off,off,1227.06,OK
1b,1,9,off,on,1523.68,OK
1b,1,15,w5,off,1441.78,OK
1b,1,15,w5,on,1442.60,OK
1b,1,15,w7,off,1432.82,OK
1b,1,15,w7,on,1437.01,OK
1b,1,15,off,off,1426.08,OK
1b,1,15,off,on,1517.81,OK
1b,1,33,w5,off,1475.97,OK
1b,1,33,w5,on,1472.47,OK
1b,1,33,w7,off,1440.15,OK
1b,1,33,w7,on,1493.43,OK
1b,1,33,off,off,1394.62,OK
1b,1,33,off,on,1512.20,OK
1b,1,63,w5,off,1515.36,OK
1b,1,63,w5,on,1514.19,OK
1b,1,63,w7,off,1511.50,OK
1b,1,63,w7,on,1512.11,OK
1b,1,63,off,off,1492.20,OK
1b,1,63,off,on,1511.68,OK
1b,1,127,w5,off,1514.58,OK
1b,1,127,w5,on,1511.70,OK
1b,1,127,w7,off,1503.99,OK
1b,1,127,w7,on,1511.74,OK
1b,1,127,off,off,1503.93,OK
1b,1,127,off,on,1511.63,OK
1b,1,511,w5,off,1512.90,OK
1b,1,511,w5,on,1511.58,OK
1b,1,511,w7,off,1512.76,OK
1b,1,511,w7,on,1511.57,OK
1b,1,511,off,off,1512.75,OK
1b,1,511,off,on,1511.55,OK
1b,1,729,w5,off,1510.69,OK
1b,1,729,w5,on,1511.57,OK
1b,1,729,w7,off,1510.69,OK
1b,1,729,w7,on,1511.47,OK
1b,1,729,off,off,1510.61,OK
1b,1,729,off,on,1511.59,OK
1b,1,1023,w5,off,1514.04,OK
1b,1,1023,w5,on,1511.58,OK
1b,1,1023,w7,off,1513.96,OK
1b,1,1023,w7,on,1511.53,OK
1b,1,1023,off,off,1513.90,OK
1b,1,1023,off,on,1511.57,OK
1b,4,7,w5,off,1346.01,OK
1b,4,7,w5,on,1346.83,OK
1b,4,7,w7,off,1518.65,OK
1b,4,7,w7,on,1518.33,OK
1b,4,7,off,off,1515.70,OK
1b,4,7,off,on,1516.86,OK
1b,4,9,w5,off,1343.26,OK
1b,4,9,w5,on,1341.77,OK
1b,4,9,w7,off,1518.73,OK
1b,4,9,w7,on,1519.50,OK
1b,4,9,off,off,1515.46,OK
1b,4,9,off,on,1515.75,OK
1b,4,15,w5,off,1375.11,OK
1b,4,15,w5,on,1371.40,OK
1b,4,15,w7,off,1517.54,OK
1b,4,15,w7,on,1517.64,OK
1b,4,15,off,off,1483.21,OK
1b,4,15,off,on,1512.17,OK
1b,4,33,w5,off,1515.53,OK
1b,4,33,w5,on,1514.06,OK
1b,4,33,w7,off,1515.43,OK
1b,4,33,w7,on,1515.48,OK
1b,4,33,off,off,1414.57,OK
1b,4,33,off,on,1511.54,OK
1b,4,63,w5,off,1515.26,OK
1b,4,63,w5,on,1514.79,OK
1b,4,63,w7,off,1515.28,OK
1b,4,63,w7,on,1514.66,OK
1b,4,63,off,off,1473.66,OK
1b,4,63,off,on,1511.57,OK
1b,4,127,w5,off,1472.02,OK
1b,4,127,w5,on,1511.51,OK
1b,4,127,w7,off,1409.21,OK
1b,4,127,w7,on,1511.65,OK
1b,4,127,off,off,1432.58,OK
1b,4,127,off,on,1511.55,OK
1b,4,511,w5,off,1511.00,OK
1b,4,511,w5,on,1511.45,OK
1b,4,511,w7,off,1509.76,OK
1b,4,511,w7,on,1511.46,OK
1b,4,511,off,off,1493.22,OK
1b,4,511,off,on,1511.47,OK
1b,4,729,w5,off,1510.33,OK
1b,4,729,w5,on,1511.55,OK
1b,4,729,w7,off,1512.04,OK
1b,4,729,w7,on,1511.57,OK
1b,4,729,off,off,1494.25,OK
1b,4,729,off,on,1511.38,OK
1b,4,1023,w5,off,1509.94,OK
1b,4,1023,w5,on,1511.47,OK
1b,4,1023,w7,off,1511.11,OK
1b,4,1023,w7,on,1511.48,OK
1b,4,1023,off,off,1504.27,OK
1b,4,1023,off,on,1511.44,OK
