test,qp,rcn,shut,rl,bw_gbps,status
1c,8,w5,0,off,1336.46,OK
1c,8,w5,1,off,1147.21,OK
1c,8,w5,1,on,1147.38,OK
1c,8,w5,2,off,765.27,OK
1c,8,w5,2,on,765.38,OK
1c,8,w5,3,off,383.04,OK
1c,8,w5,3,on,383.09,OK
1c,8,w7,0,off,1513.15,OK
1c,8,w7,1,off,1145.56,OK
1c,8,w7,1,on,1145.71,OK
1c,8,w7,2,off,764.91,OK
1c,8,w7,2,on,765.01,OK
1c,8,w7,3,off,383.02,OK
1c,8,w7,3,on,383.08,OK
1c,8,off,0,off,1515.50,OK
1c,8,off,1,off,1103.09,OK
1c,8,off,1,on,1146.82,OK
1c,8,off,2,off,758.97,OK
1c,8,off,2,on,760.88,OK
1c,8,off,3,off,379.60,OK
1c,8,off,3,on,379.80,OK
1c,64,w5,0,off,NA,OK
1c,64,w5,1,off,1138.75,OK
1c,64,w5,1,on,1139.07,OK
1c,64,w5,2,off,759.23,OK
1c,64,w5,2,on,759.73,OK
1c,64,w5,3,off,379.95,OK
1c,64,w5,3,on,380.19,OK
1c,64,w7,0,off,NA,OK
1c,64,w7,1,off,1138.74,OK
1c,64,w7,1,on,1138.20,OK
1c,64,w7,2,off,759.18,OK
1c,64,w7,2,on,759.57,OK
1c,64,w7,3,off,379.71,OK
1c,64,w7,3,on,380.06,OK
1c,64,off,0,off,NA,OK
1c,64,off,1,off,1033.92,OK
1c,64,off,1,on,1135.95,OK
1c,64,off,2,off,705.91,OK
1c,64,off,2,on,757.54,OK
1c,64,off,3,off,379.61,OK
1c,64,off,3,on,379.60,OK
1c,256,w5,0,off,1490.76,OK
1c,256,w5,1,off,1120.06,OK
1c,256,w5,1,on,1133.71,OK
1c,256,w5,2,off,603.01,OK
1c,256,w5,2,on,757.48,OK
1c,256,w5,3,off,379.60,OK
1c,256,w5,3,on,379.60,OK
1c,256,w7,0,off,1462.82,OK
1c,256,w7,1,off,1131.54,OK
1c,256,w7,1,on,1133.71,OK
1c,256,w7,2,off,606.13,OK
1c,256,w7,2,on,757.53,OK
1c,256,w7,3,off,381.45,OK
1c,256,w7,3,on,379.62,OK
1c,256,off,0,off,1494.73,OK
1c,256,off,1,off,1073.56,OK
1c,256,off,1,on,1135.00,OK
1c,256,off,2,off,609.29,OK
1c,256,off,2,on,757.49,OK
1c,256,off,3,off,379.60,OK
1c,256,off,3,on,379.60,OK
1c,1024,w5,0,off,1513.47,OK
1c,1024,w5,1,off,1120.43,OK
1c,1024,w5,1,on,1133.62,OK
1c,1024,w5,2,off,576.92,OK
1c,1024,w5,2,on,714.92,OK
1c,1024,w5,3,off,379.40,OK
1c,1024,w5,3,on,379.57,OK
1c,1024,w7,0,off,1506.94,OK
1c,1024,w7,1,off,1123.80,OK
1c,1024,w7,1,on,1133.71,OK
1c,1024,w7,2,off,578.13,OK
1c,1024,w7,2,on,716.86,OK
1c,1024,w7,3,off,379.46,OK
1c,1024,w7,3,on,379.80,OK
1c,1024,off,0,off,1510.38,OK
1c,1024,off,1,off,1123.51,OK
1c,1024,off,1,on,1133.86,OK
1c,1024,off,2,off,SKIP,SKIP
1c,1024,off,2,on,SKIP,SKIP
1c,1024,off,3,off,SKIP,SKIP
1c,1024,off,3,on,SKIP,SKIP
