test,path,qp,rcn,ppg,rl,dir,bw_gbps,status
1a,4,8,w7,enable,off,uni,777.57,OK
1a,4,64,w7,enable,off,uni,777.56,OK
1a,4,256,w7,enable,off,uni,777.58,OK
1a,4,512,w7,enable,off,uni,777.53,OK
1a,4,1024,w7,enable,off,uni,777.48,OK
1a,4,8,w7,enable,off,bidir,1495.73,OK
1a,4,64,w7,enable,off,bidir,1518.35,OK
1a,4,256,w7,enable,off,bidir,1518.28,OK
1a,4,512,w7,enable,off,bidir,1518.38,OK
1a,4,1024,w7,enable,off,bidir,1518.77,OK
1a,4,8,w7,enable,on,uni,777.57,OK
1a,4,64,w7,enable,on,uni,777.44,OK
1a,4,256,w7,enable,on,uni,772.41,OK
1a,4,512,w7,enable,on,uni,772.07,OK
1a,4,1024,w7,enable,on,uni,772.23,OK
1a,4,8,w7,enable,on,bidir,1504.62,OK
1a,4,64,w7,enable,on,bidir,1518.55,OK
1a,4,256,w7,enable,on,bidir,1518.04,OK
1a,4,512,w7,enable,on,bidir,1517.85,OK
1a,4,1024,w7,enable,on,bidir,1517.90,OK
1a,4,8,w7,disable,off,uni,777.58,OK
1a,4,64,w7,disable,off,uni,777.57,OK
1a,4,256,w7,disable,off,uni,777.55,OK
1a,4,512,w7,disable,off,uni,777.59,OK
1a,4,1024,w7,disable,off,uni,775.13,OK
1a,4,8,w7,disable,off,bidir,1493.40,OK
1a,4,64,w7,disable,off,bidir,1518.35,OK
1a,4,256,w7,disable,off,bidir,1489.22,OK
1a,4,512,w7,disable,off,bidir,1515.42,OK
1a,4,1024,w7,disable,off,bidir,1515.35,OK
1a,4,8,w7,disable,on,uni,777.57,OK
1a,4,64,w7,disable,on,uni,776.99,OK
1a,4,256,w7,disable,on,uni,772.76,OK
1a,4,512,w7,disable,on,uni,773.06,OK
1a,4,1024,w7,disable,on,uni,773.09,OK
1a,4,8,w7,disable,on,bidir,1493.85,OK
1a,4,64,w7,disable,on,bidir,1518.62,OK
1a,4,256,w7,disable,on,bidir,1518.09,OK
1a,4,512,w7,disable,on,bidir,1517.94,OK
1a,4,1024,w7,disable,on,bidir,1517.92,OK
1a,4,8,off,enable,off,uni,777.57,OK
1a,4,64,off,enable,off,uni,777.56,OK
1a,4,256,off,enable,off,uni,777.57,OK
1a,4,512,off,enable,off,uni,777.55,OK
1a,4,1024,off,enable,off,uni,777.94,OK
1a,4,8,off,enable,off,bidir,1518.51,OK
1a,4,64,off,enable,off,bidir,1518.33,OK
1a,4,256,off,enable,off,bidir,1518.22,OK
1a,4,512,off,enable,off,bidir,1518.16,OK
1a,4,1024,off,enable,off,bidir,1517.85,OK
1a,4,8,off,enable,on,uni,771.58,OK
1a,4,64,off,enable,on,uni,772.48,OK
1a,4,256,off,enable,on,uni,772.35,OK
1a,4,512,off,enable,on,uni,772.26,OK
1a,4,1024,off,enable,on,uni,772.20,OK
1a,4,8,off,enable,on,bidir,1526.34,OK
1a,4,64,off,enable,on,bidir,1518.35,OK
1a,4,256,off,enable,on,bidir,1517.92,OK
1a,4,512,off,enable,on,bidir,1517.88,OK
1a,4,1024,off,enable,on,bidir,1517.77,OK
1a,4,8,off,disable,off,uni,777.50,OK
1a,4,64,off,disable,off,uni,777.57,OK
1a,4,256,off,disable,off,uni,771.50,OK
1a,4,512,off,disable,off,uni,775.99,OK
1a,4,1024,off,disable,off,uni,774.59,OK
1a,4,8,off,disable,off,bidir,1518.49,OK
1a,4,64,off,disable,off,bidir,1518.32,OK
1a,4,256,off,disable,off,bidir,1518.24,OK
1a,4,512,off,disable,off,bidir,1516.83,OK
1a,4,1024,off,disable,off,bidir,1517.34,OK
1a,4,8,off,disable,on,uni,771.62,OK
1a,4,64,off,disable,on,uni,772.48,OK
1a,4,256,off,disable,on,uni,772.73,OK
1a,4,512,off,disable,on,uni,772.91,OK
1a,4,1024,off,disable,on,uni,773.11,OK
1a,4,8,off,disable,on,bidir,1526.27,OK
1a,4,64,off,disable,on,bidir,1518.31,OK
1a,4,256,off,disable,on,bidir,1517.84,OK
1a,4,512,off,disable,on,bidir,1517.81,OK
1a,4,1024,off,disable,on,bidir,1517.85,OK
