test,path,qp,rcn,ppg,rl,dir,bw_gbps,status
1b,1,7,w7,enable,off,bidir,1328.56,OK
1b,1,9,w7,enable,off,bidir,1379.80,OK
1b,1,15,w7,enable,off,bidir,1443.87,OK
1b,1,33,w7,enable,off,bidir,1487.46,OK
1b,1,63,w7,enable,off,bidir,1518.36,OK
1b,1,127,w7,enable,off,bidir,1496.28,OK
1b,1,7,w7,enable,off,uni,674.94,OK
1b,1,9,w7,enable,off,uni,703.98,OK
1b,1,15,w7,enable,off,uni,738.54,OK
1b,1,33,w7,enable,off,uni,777.57,OK
1b,4,7,w7,enable,off,bidir,1524.04,OK
1b,4,9,w7,enable,off,bidir,1523.11,OK
1b,4,15,w7,enable,off,bidir,1520.88,OK
1b,4,33,w7,enable,off,bidir,1518.54,OK
1b,4,63,w7,enable,off,bidir,1518.29,OK
1b,4,127,w7,enable,off,bidir,1518.35,OK
1b,1,7,w7,enable,on,bidir,1334.73,OK
1b,1,9,w7,enable,on,bidir,1400.96,OK
1b,1,15,w7,enable,on,bidir,1466.74,OK
1b,1,33,w7,enable,on,bidir,1507.23,OK
1b,1,63,w7,enable,on,bidir,1518.46,OK
1b,1,127,w7,enable,on,bidir,1518.05,OK
1b,1,7,w7,enable,on,uni,674.92,OK
1b,1,9,w7,enable,on,uni,708.91,OK
1b,1,15,w7,enable,on,uni,739.98,OK
1b,1,33,w7,enable,on,uni,777.56,OK
1b,4,7,w7,enable,on,bidir,1524.89,OK
1b,4,9,w7,enable,on,bidir,1523.30,OK
1b,4,15,w7,enable,on,bidir,1520.96,OK
1b,4,33,w7,enable,on,bidir,1518.62,OK
1b,4,63,w7,enable,on,bidir,1518.51,OK
1b,4,127,w7,enable,on,bidir,1518.29,OK
1b,1,7,w7,disable,off,bidir,1327.73,OK
1b,1,9,w7,disable,off,bidir,1379.37,OK
1b,1,15,w7,disable,off,bidir,1440.98,OK
1b,1,33,w7,disable,off,bidir,1484.89,OK
1b,1,63,w7,disable,off,bidir,1518.33,OK
1b,1,127,w7,disable,off,bidir,1494.70,OK
1b,1,7,w7,disable,off,uni,676.99,OK
1b,1,9,w7,disable,off,uni,702.70,OK
1b,1,15,w7,disable,off,uni,738.92,OK
1b,1,33,w7,disable,off,uni,777.55,OK
1b,4,7,w7,disable,off,bidir,1524.30,OK
1b,4,9,w7,disable,off,bidir,1522.42,OK
1b,4,15,w7,disable,off,bidir,1521.03,OK
1b,4,33,w7,disable,off,bidir,1518.61,OK
1b,4,63,w7,disable,off,bidir,1518.33,OK
1b,4,127,w7,disable,off,bidir,1516.59,OK
1b,1,7,w7,disable,on,bidir,1333.11,OK
1b,1,9,w7,disable,on,bidir,1402.65,OK
1b,1,15,w7,disable,on,bidir,1459.18,OK
1b,1,33,w7,disable,on,bidir,1507.22,OK
1b,1,63,w7,disable,on,bidir,1518.44,OK
1b,1,127,w7,disable,on,bidir,1518.04,OK
1b,1,7,w7,disable,on,uni,676.98,OK
1b,1,9,w7,disable,on,uni,705.58,OK
1b,1,15,w7,disable,on,uni,741.67,OK
1b,1,33,w7,disable,on,uni,777.57,OK
1b,4,7,w7,disable,on,bidir,1524.47,OK
1b,4,9,w7,disable,on,bidir,1522.57,OK
1b,4,15,w7,disable,on,bidir,1520.91,OK
1b,4,33,w7,disable,on,bidir,1518.60,OK
1b,4,63,w7,disable,on,bidir,1518.54,OK
1b,4,127,w7,disable,on,bidir,1518.38,OK
1b,1,7,off,enable,off,bidir,1327.51,OK
1b,1,9,off,enable,off,bidir,1391.11,OK
1b,1,15,off,enable,off,bidir,1431.10,OK
1b,1,33,off,enable,off,bidir,1475.78,OK
1b,1,63,off,enable,off,bidir,1494.48,OK
1b,1,127,off,enable,off,bidir,1506.46,OK
1b,1,7,off,enable,off,uni,666.38,OK
1b,1,9,off,enable,off,uni,707.85,OK
1b,1,15,off,enable,off,uni,725.60,OK
1b,1,33,off,enable,off,uni,755.86,OK
1b,4,7,off,enable,off,bidir,1519.16,OK
1b,4,9,off,enable,off,bidir,1518.84,OK
1b,4,15,off,enable,off,bidir,1518.45,OK
1b,4,33,off,enable,off,bidir,1518.32,OK
1b,4,63,off,enable,off,bidir,1518.32,OK
1b,4,127,off,enable,off,bidir,1518.31,OK
1b,1,7,off,enable,on,bidir,1530.42,OK
1b,1,9,off,enable,on,bidir,1530.26,OK
1b,1,15,off,enable,on,bidir,1525.90,OK
1b,1,33,off,enable,on,bidir,1519.10,OK
1b,1,63,off,enable,on,bidir,1518.16,OK
1b,1,127,off,enable,on,bidir,1517.96,OK
1b,1,7,off,enable,on,uni,773.03,OK
1b,1,9,off,enable,on,uni,773.12,OK
1b,1,15,off,enable,on,uni,773.13,OK
1b,1,33,off,enable,on,uni,773.14,OK
1b,4,7,off,enable,on,bidir,1526.63,OK
1b,4,9,off,enable,on,bidir,1525.08,OK
1b,4,15,off,enable,on,bidir,1521.20,OK
1b,4,33,off,enable,on,bidir,1518.92,OK
1b,4,63,off,enable,on,bidir,1518.32,OK
1b,4,127,off,enable,on,bidir,1518.05,OK
1b,1,7,off,disable,off,bidir,1323.49,OK
1b,1,9,off,disable,off,bidir,1400.91,OK
1b,1,15,off,disable,off,bidir,1431.42,OK
1b,1,33,off,disable,off,bidir,1476.25,OK
1b,1,63,off,disable,off,bidir,1494.42,OK
1b,1,127,off,disable,off,bidir,1506.45,OK
1b,1,7,off,disable,off,uni,680.04,OK
1b,1,9,off,disable,off,uni,724.41,OK
1b,1,15,off,disable,off,uni,719.72,OK
1b,1,33,off,disable,off,uni,758.83,OK
1b,4,7,off,disable,off,bidir,1519.06,OK
1b,4,9,off,disable,off,bidir,1518.89,OK
1b,4,15,off,disable,off,bidir,1518.47,OK
1b,4,33,off,disable,off,bidir,1518.32,OK
1b,4,63,off,disable,off,bidir,1518.32,OK
1b,4,127,off,disable,off,bidir,1518.26,OK
1b,1,7,off,disable,on,bidir,1530.40,OK
1b,1,9,off,disable,on,bidir,1530.31,OK
1b,1,15,off,disable,on,bidir,1525.90,OK
1b,1,33,off,disable,on,bidir,1519.14,OK
1b,1,63,off,disable,on,bidir,1518.15,OK
1b,1,127,off,disable,on,bidir,1518.02,OK
1b,1,7,off,disable,on,uni,773.01,OK
1b,1,9,off,disable,on,uni,773.12,OK
1b,1,15,off,disable,on,uni,773.13,OK
1b,1,33,off,disable,on,uni,773.14,OK
1b,4,7,off,disable,on,bidir,1526.55,OK
1b,4,9,off,disable,on,bidir,1525.21,OK
1b,4,15,off,disable,on,bidir,1521.45,OK
1b,4,33,off,disable,on,bidir,1518.98,OK
1b,4,63,off,disable,on,bidir,1518.36,OK
1b,4,127,off,disable,on,bidir,1517.90,OK
