config,ppg,rcn,qp,rl,bw_gbps,d_exceed,d_specfail,status
PPGen_RCNen,enable,enable,8,on,1509.47,347,410,OK
PPGen_RCNen,enable,enable,8,off,1505.06,0,0,OK
PPGen_RCNen,enable,enable,64,on,1514.44,127289947,207053171,OK
PPGen_RCNen,enable,enable,64,off,1514.81,0,0,OK
PPGen_RCNen,enable,enable,256,on,1504.09,75588261,44331933,OK
PPGen_RCNen,enable,enable,256,off,1512.61,0,0,OK
PPGen_RCNen,enable,enable,512,on,1481.43,245270,47557,OK
PPGen_RCNen,enable,enable,512,off,1513.79,0,0,OK
PPGen_RCNen,enable,enable,1024,on,1490.13,345945,9028,OK
PPGen_RCNen,enable,enable,1024,off,1514.48,0,0,OK
PPGen_RCNen,enable,enable,2048,on,NA,0,0,FAIL
PPGen_RCNen,enable,enable,2048,off,NA,0,0,FAIL
PPGen_RCNdis,enable,disable,8,on,1517.51,117631876,95741783,OK
PPGen_RCNdis,enable,disable,8,off,1515.48,0,0,OK
PPGen_RCNdis,enable,disable,64,on,1512.38,142676441,162629327,OK
PPGen_RCNdis,enable,disable,64,off,1515.22,0,0,OK
PPGen_RCNdis,enable,disable,256,on,1502.02,71681552,44255644,OK
PPGen_RCNdis,enable,disable,256,off,1514.92,0,0,OK
PPGen_RCNdis,enable,disable,512,on,1485.53,783746,410966,OK
PPGen_RCNdis,enable,disable,512,off,1515.00,0,0,OK
PPGen_RCNdis,enable,disable,1024,on,1493.61,340140,35405,OK
PPGen_RCNdis,enable,disable,1024,off,1514.95,0,0,OK
PPGen_RCNdis,enable,disable,2048,on,NA,0,0,FAIL
PPGen_RCNdis,enable,disable,2048,off,NA,0,0,FAIL
PPGdis_RCNen,disable,enable,8,on,1506.69,309,304,OK
PPGdis_RCNen,disable,enable,8,off,1511.26,0,0,OK
PPGdis_RCNen,disable,enable,64,on,1514.67,107767704,286891650,OK
PPGdis_RCNen,disable,enable,64,off,1515.27,0,0,OK
PPGdis_RCNen,disable,enable,256,on,1512.28,121903973,487716961,OK
PPGdis_RCNen,disable,enable,256,off,1473.22,0,0,OK
PPGdis_RCNen,disable,enable,512,on,1512.20,77837741,325829651,OK
PPGdis_RCNen,disable,enable,512,off,1513.34,0,0,OK
PPGdis_RCNen,disable,enable,1024,on,1512.31,65414328,329586218,OK
PPGdis_RCNen,disable,enable,1024,off,1512.25,0,0,OK
PPGdis_RCNen,disable,enable,2048,on,NA,0,0,FAIL
PPGdis_RCNen,disable,enable,2048,off,NA,0,0,FAIL
PPGdis_RCNdis,disable,disable,8,on,1517.45,118680692,97451944,OK
PPGdis_RCNdis,disable,disable,8,off,1515.48,0,0,OK
PPGdis_RCNdis,disable,disable,64,on,1512.30,159967463,502473078,OK
PPGdis_RCNdis,disable,disable,64,off,1473.92,0,0,OK
PPGdis_RCNdis,disable,disable,256,on,1512.35,132505634,571434969,OK
PPGdis_RCNdis,disable,disable,256,off,1494.96,0,0,OK
PPGdis_RCNdis,disable,disable,512,on,1512.29,81247388,352656926,OK
PPGdis_RCNdis,disable,disable,512,off,1490.64,0,0,OK
PPGdis_RCNdis,disable,disable,1024,on,1512.22,68121192,342215239,OK
PPGdis_RCNdis,disable,disable,1024,off,1502.40,0,0,OK
PPGdis_RCNdis,disable,disable,2048,on,NA,0,0,FAIL
PPGdis_RCNdis,disable,disable,2048,off,NA,0,0,FAIL
