mode,qp,size,bw_avg_gbps
write_bw,2,2,0.14
write_with_imm,2,2,0.08
write_bw,2,4,0.29
write_with_imm,2,4,0.16
write_bw,2,8,0.58
write_with_imm,2,8,0.33
write_bw,2,16,1.17
write_with_imm,2,16,0.66
write_bw,2,32,2.34
write_with_imm,2,32,1.28
write_bw,2,64,4.68
write_with_imm,2,64,2.60
write_bw,2,128,9.35
write_with_imm,2,128,5.10
write_bw,2,256,18.66
write_with_imm,2,256,10.32
write_bw,2,512,37.11
write_with_imm,2,512,21.14
write_bw,2,1024,73.76
write_with_imm,2,1024,41.74
write_bw,2,2048,146.42
write_with_imm,2,2048,85.17
write_bw,2,4096,287.88
write_with_imm,2,4096,173.65
write_bw,2,8192,562.19
write_with_imm,2,8192,351.32
write_bw,2,16384,750.18
write_with_imm,2,16384,614.98
write_bw,2,32768,765.60
write_with_imm,2,32768,761.76
write_bw,2,65536,718.21
write_with_imm,2,65536,714.71
write_bw,2,131072,719.61
write_with_imm,2,131072,718.07
write_bw,2,262144,721.63
write_with_imm,2,262144,720.02
write_bw,2,524288,720.92
write_with_imm,2,524288,719.84
write_bw,2,1048576,721.59
write_with_imm,2,1048576,720.44
write_bw,2,2097152,721.85
write_with_imm,2,2097152,720.93
write_bw,2,4194304,722.34
write_with_imm,2,4194304,721.41
write_bw,2,8388608,722.35
write_with_imm,2,8388608,721.59
write_bw,4,2,0.15
write_with_imm,4,2,0.08
write_bw,4,4,0.30
write_with_imm,4,4,0.16
write_bw,4,8,0.60
write_with_imm,4,8,0.32
write_bw,4,16,1.19
write_with_imm,4,16,0.65
write_bw,4,32,2.39
write_with_imm,4,32,1.31
write_bw,4,64,4.77
write_with_imm,4,64,2.60
write_bw,4,128,9.55
write_with_imm,4,128,5.18
write_bw,4,256,19.08
write_with_imm,4,256,10.36
write_bw,4,512,38.07
write_with_imm,4,512,20.66
write_bw,4,1024,75.96
write_with_imm,4,1024,41.43
write_bw,4,2048,150.87
write_with_imm,4,2048,82.70
write_bw,4,4096,299.34
write_with_imm,4,4096,163.12
write_bw,4,8192,606.62
write_with_imm,4,8192,335.40
write_bw,4,16384,761.08
write_with_imm,4,16384,628.11
write_bw,4,32768,760.18
write_with_imm,4,32768,760.08
write_bw,4,65536,708.78
write_with_imm,4,65536,706.68
write_bw,4,131072,710.03
write_with_imm,4,131072,707.85
write_bw,4,262144,708.29
write_with_imm,4,262144,707.26
write_bw,4,524288,708.76
write_with_imm,4,524288,708.03
write_bw,4,1048576,708.97
write_with_imm,4,1048576,708.27
write_bw,4,2097152,709.07
write_with_imm,4,2097152,708.26
write_bw,4,4194304,709.02
write_with_imm,4,4194304,708.26
write_bw,4,8388608,709.18
write_with_imm,4,8388608,708.46
write_bw,8,2,0.15
write_with_imm,8,2,0.08
write_bw,8,4,0.31
write_with_imm,8,4,0.17
write_bw,8,8,0.62
write_with_imm,8,8,0.33
write_bw,8,16,1.24
write_with_imm,8,16,0.66
write_bw,8,32,2.49
write_with_imm,8,32,1.33
write_bw,8,64,4.98
write_with_imm,8,64,2.65
write_bw,8,128,9.94
write_with_imm,8,128,5.29
write_bw,8,256,19.76
write_with_imm,8,256,10.62
write_bw,8,512,39.56
write_with_imm,8,512,21.13
write_bw,8,1024,78.79
write_with_imm,8,1024,42.19
write_bw,8,2048,156.59
write_with_imm,8,2048,83.89
write_bw,8,4096,310.78
write_with_imm,8,4096,166.08
write_bw,8,8192,635.18
write_with_imm,8,8192,324.20
write_bw,8,16384,759.83
write_with_imm,8,16384,629.81
write_bw,8,32768,760.06
write_with_imm,8,32768,750.98
write_bw,8,65536,723.44
write_with_imm,8,65536,709.08
write_bw,8,131072,721.59
write_with_imm,8,131072,708.28
write_bw,8,262144,721.30
write_with_imm,8,262144,708.20
write_bw,8,524288,721.05
write_with_imm,8,524288,709.40
write_bw,8,1048576,721.22
write_with_imm,8,1048576,709.91
write_bw,8,2097152,722.20
write_with_imm,8,2097152,710.55
write_bw,8,4194304,722.08
write_with_imm,8,4194304,710.38
write_bw,8,8388608,722.14
write_with_imm,8,8388608,710.59
write_bw,16,2,0.15
write_with_imm,16,2,0.09
write_bw,16,4,0.31
write_with_imm,16,4,0.08
write_bw,16,8,0.61
write_with_imm,16,8,0.37
write_bw,16,16,1.22
write_with_imm,16,16,0.76
write_bw,16,32,2.45
write_with_imm,16,32,1.51
write_bw,16,64,4.90
write_with_imm,16,64,3.03
write_bw,16,128,9.78
write_with_imm,16,128,6.03
