mode,qp,size,iters,tx,rx,npaths,bw_avg_gbps,bw_peak_gbps,msgrate_mpps
write_bw,2,2,10000,128,512,8,0.143295,0.146473,8.955948
write_bw,2,4,10000,128,512,8,0.30,0.30,9.297767
write_bw,2,8,10000,128,512,8,0.59,0.59,9.249501
write_bw,2,16,10000,128,512,8,1.19,1.20,9.302979
write_bw,2,32,10000,128,512,8,2.37,2.37,9.248200
write_bw,2,64,10000,128,512,8,4.75,4.77,9.270950
write_bw,2,128,10000,128,512,8,9.50,9.54,9.280852
write_bw,2,256,10000,128,512,8,19.18,19.31,9.365985
write_bw,2,512,10000,128,512,8,39.01,39.02,9.523734
write_bw,2,1024,10000,128,512,8,76.52,76.87,9.340911
write_bw,2,2048,10000,128,512,8,149.18,149.32,9.105419
write_bw,2,4096,10000,128,512,8,297.26,297.77,9.071554
write_bw,2,8192,10000,128,512,8,582.05,587.38,8.881417
write_bw,2,16384,10000,128,512,8,768.08,769.03,5.859999
write_bw,2,32768,10000,128,512,8,770.65,770.85,2.939790
write_bw,2,65536,10000,128,512,8,742.81,749.58,1.416807
write_bw,2,131072,10000,128,512,8,755.12,757.64,0.720135
write_bw,2,262144,10000,128,512,8,761.57,763.45,0.363146
write_bw,2,524288,10000,128,512,8,763.96,764.57,0.182142
write_bw,2,1048576,10000,128,512,8,764.68,765.09,0.091157
write_bw,2,2097152,10000,128,512,8,764.92,764.98,0.045593
write_bw,2,4194304,10000,128,512,8,765.15,765.26,0.022803
write_bw,2,8388608,10000,128,512,8,764.21,764.21,0.011388
write_with_imm,2,2,10000,128,512,8,0.080014,0.118558,5.000895
write_with_imm,2,4,10000,128,512,8,0.167883,0.258024,5.246334
write_with_imm,2,8,10000,128,512,8,0.35,0.53,5.503231
write_with_imm,2,16,10000,128,512,8,0.66,1.05,5.163495
write_with_imm,2,32,10000,128,512,8,1.34,2.10,5.253366
write_with_imm,2,64,10000,128,512,8,2.82,4.24,5.512098
write_with_imm,2,128,10000,128,512,8,5.33,8.34,5.207536
write_with_imm,2,256,10000,128,512,8,11.00,16.76,5.368661
write_with_imm,2,512,10000,128,512,8,22.34,33.54,5.454514
